// Made in NPC Maker by BowieD
GUID b61c83d66de647f5a47a0dcb4eae18d5
Buying_51_Cost 31
Buying_51_Conditions 2
Buying_51_Condition_0_Type Flag_Short
Buying_51_Condition_0_ID 33
Buying_51_Condition_0_Value 2000
Buying_51_Condition_0_Logic Less_Than

Buying_51_Condition_1_Type Flag_Short
Buying_51_Condition_1_ID 33
Buying_51_Condition_1_Value 1000
Buying_51_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_51_Rewards 1
Buying_51_Reward_0_Type Flag_Short
Buying_51_Reward_0_ID 33
Buying_51_Reward_0_Value 10
Buying_51_Reward_0_Modification Increment

Buying_52_ID 39
Buying_52_Cost 31
Buying_52_Conditions 2
Buying_52_Condition_0_Type Flag_Short
Buying_52_Condition_0_ID 33
Buying_52_Condition_0_Value 2000
Buying_52_Condition_0_Logic Less_Than

Buying_52_Condition_1_Type Flag_Short
Buying_52_Condition_1_ID 33
Buying_52_Condition_1_Value 1000
Buying_52_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_52_Rewards 1
Buying_52_Reward_0_Type Flag_Short
Buying_52_Reward_0_ID 33
Buying_52_Reward_0_Value 10
Buying_52_Reward_0_Modification Increment

Buying_53_ID 37
Buying_53_Cost 31
Buying_53_Conditions 2
Buying_53_Condition_0_Type Flag_Short
Buying_53_Condition_0_ID 33
Buying_53_Condition_0_Value 2000
Buying_53_Condition_0_Logic Less_Than

Buying_53_Condition_1_Type Flag_Short
Buying_53_Condition_1_ID 33
Buying_53_Condition_1_Value 1000
Buying_53_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_53_Rewards 1
Buying_53_Reward_0_Type Flag_Short
Buying_53_Reward_0_ID 33
Buying_53_Reward_0_Value 10
Buying_53_Reward_0_Modification Increment

Buying_54_ID 41
Buying_54_Cost 32
Buying_54_Conditions 2
Buying_54_Condition_0_Type Flag_Short
Buying_54_Condition_0_ID 33
Buying_54_Condition_0_Value 3000
Buying_54_Condition_0_Logic Less_Than

Buying_54_Condition_1_Type Flag_Short
Buying_54_Condition_1_ID 33
Buying_54_Condition_1_Value 2000
Buying_54_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_54_Rewards 1
Buying_54_Reward_0_Type Flag_Short
Buying_54_Reward_0_ID 33
Buying_54_Reward_0_Value 10
Buying_54_Reward_0_Modification Increment

Buying_55_ID 39
Buying_55_Cost 32
Buying_55_Conditions 2
Buying_55_Condition_0_Type Flag_Short
Buying_55_Condition_0_ID 33
Buying_55_Condition_0_Value 3000
Buying_55_Condition_0_Logic Less_Than

Buying_55_Condition_1_Type Flag_Short
Buying_55_Condition_1_ID 33
Buying_55_Condition_1_Value 2000
Buying_55_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_55_Rewards 1
Buying_55_Reward_0_Type Flag_Short
Buying_55_Reward_0_ID 33
Buying_55_Reward_0_Value 10
Buying_55_Reward_0_Modification Increment

Buying_56_ID 37
Buying_56_Cost 32
Buying_56_Conditions 2
Buying_56_Condition_0_Type Flag_Short
Buying_56_Condition_0_ID 33
Buying_56_Condition_0_Value 3000
Buying_56_Condition_0_Logic Less_Than

Buying_56_Condition_1_Type Flag_Short
Buying_56_Condition_1_ID 33
Buying_56_Condition_1_Value 2000
Buying_56_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_56_Rewards 1
Buying_56_Reward_0_Type Flag_Short
Buying_56_Reward_0_ID 33
Buying_56_Reward_0_Value 10
Buying_56_Reward_0_Modification Increment

Buying_57_ID 41
Buying_57_Cost 33
Buying_57_Conditions 2
Buying_57_Condition_0_Type Flag_Short
Buying_57_Condition_0_ID 33
Buying_57_Condition_0_Value 4000
Buying_57_Condition_0_Logic Less_Than

Buying_57_Condition_1_Type Flag_Short
Buying_57_Condition_1_ID 33
Buying_57_Condition_1_Value 3000
Buying_57_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_57_Rewards 1
Buying_57_Reward_0_Type Flag_Short
Buying_57_Reward_0_ID 33
Buying_57_Reward_0_Value 10
Buying_57_Reward_0_Modification Increment

Buying_58_ID 39
Buying_58_Cost 33
Buying_58_Conditions 2
Buying_58_Condition_0_Type Flag_Short
Buying_58_Condition_0_ID 33
Buying_58_Condition_0_Value 4000
Buying_58_Condition_0_Logic Less_Than

Buying_58_Condition_1_Type Flag_Short
Buying_58_Condition_1_ID 33
Buying_58_Condition_1_Value 3000
Buying_58_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_58_Rewards 1
Buying_58_Reward_0_Type Flag_Short
Buying_58_Reward_0_ID 33
Buying_58_Reward_0_Value 10
Buying_58_Reward_0_Modification Increment

Buying_59_ID 37
Buying_59_Cost 33
Buying_59_Conditions 2
Buying_59_Condition_0_Type Flag_Short
Buying_59_Condition_0_ID 33
Buying_59_Condition_0_Value 4000
Buying_59_Condition_0_Logic Less_Than

Buying_59_Condition_1_Type Flag_Short
Buying_59_Condition_1_ID 33
Buying_59_Condition_1_Value 3000
Buying_59_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_59_Rewards 1
Buying_59_Reward_0_Type Flag_Short
Buying_59_Reward_0_ID 33
Buying_59_Reward_0_Value 10
Buying_59_Reward_0_Modification Increment

Buying_60_ID 41
Buying_60_Cost 34
Buying_60_Conditions 2
Buying_60_Condition_0_Type Flag_Short
Buying_60_Condition_0_ID 33
Buying_60_Condition_0_Value 5000
Buying_60_Condition_0_Logic Less_Than

Buying_60_Condition_1_Type Flag_Short
Buying_60_Condition_1_ID 33
Buying_60_Condition_1_Value 4000
Buying_60_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_60_Rewards 1
Buying_60_Reward_0_Type Flag_Short
Buying_60_Reward_0_ID 33
Buying_60_Reward_0_Value 10
Buying_60_Reward_0_Modification Increment

Buying_61_ID 39
Buying_61_Cost 34
Buying_61_Conditions 2
Buying_61_Condition_0_Type Flag_Short
Buying_61_Condition_0_ID 33
Buying_61_Condition_0_Value 5000
Buying_61_Condition_0_Logic Less_Than

Buying_61_Condition_1_Type Flag_Short
Buying_61_Condition_1_ID 33
Buying_61_Condition_1_Value 4000
Buying_61_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_61_Rewards 1
Buying_61_Reward_0_Type Flag_Short
Buying_61_Reward_0_ID 33
Buying_61_Reward_0_Value 10
Buying_61_Reward_0_Modification Increment

Buying_62_ID 37
Buying_62_Cost 34
Buying_62_Conditions 2
Buying_62_Condition_0_Type Flag_Short
Buying_62_Condition_0_ID 33
Buying_62_Condition_0_Value 5000
Buying_62_Condition_0_Logic Less_Than

Buying_62_Condition_1_Type Flag_Short
Buying_62_Condition_1_ID 33
Buying_62_Condition_1_Value 4000
Buying_62_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_62_Rewards 1
Buying_62_Reward_0_Type Flag_Short
Buying_62_Reward_0_ID 33
Buying_62_Reward_0_Value 10
Buying_62_Reward_0_Modification Increment

Buying_63_ID 41
Buying_63_Cost 35
Buying_63_Conditions 2
Buying_63_Condition_0_Type Flag_Short
Buying_63_Condition_0_ID 33
Buying_63_Condition_0_Value 6000
Buying_63_Condition_0_Logic Less_Than

Buying_63_Condition_1_Type Flag_Short
Buying_63_Condition_1_ID 33
Buying_63_Condition_1_Value 5000
Buying_63_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_63_Rewards 1
Buying_63_Reward_0_Type Flag_Short
Buying_63_Reward_0_ID 33
Buying_63_Reward_0_Value 10
Buying_63_Reward_0_Modification Increment

Buying_64_ID 39
Buying_64_Cost 35
Buying_64_Conditions 2
Buying_64_Condition_0_Type Flag_Short
Buying_64_Condition_0_ID 33
Buying_64_Condition_0_Value 6000
Buying_64_Condition_0_Logic Less_Than

Buying_64_Condition_1_Type Flag_Short
Buying_64_Condition_1_ID 33
Buying_64_Condition_1_Value 5000
Buying_64_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_64_Rewards 1
Buying_64_Reward_0_Type Flag_Short
Buying_64_Reward_0_ID 33
Buying_64_Reward_0_Value 10
Buying_64_Reward_0_Modification Increment

Buying_65_ID 37
Buying_65_Cost 35
Buying_65_Conditions 2
Buying_65_Condition_0_Type Flag_Short
Buying_65_Condition_0_ID 33
Buying_65_Condition_0_Value 6000
Buying_65_Condition_0_Logic Less_Than

Buying_65_Condition_1_Type Flag_Short
Buying_65_Condition_1_ID 33
Buying_65_Condition_1_Value 5000
Buying_65_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_65_Rewards 1
Buying_65_Reward_0_Type Flag_Short
Buying_65_Reward_0_ID 33
Buying_65_Reward_0_Value 10
Buying_65_Reward_0_Modification Increment

Buying_66_ID 41
Buying_66_Cost 36
Buying_66_Conditions 2
Buying_66_Condition_0_Type Flag_Short
Buying_66_Condition_0_ID 33
Buying_66_Condition_0_Value 7000
Buying_66_Condition_0_Logic Less_Than

Buying_66_Condition_1_Type Flag_Short
Buying_66_Condition_1_ID 33
Buying_66_Condition_1_Value 6000
Buying_66_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_66_Rewards 1
Buying_66_Reward_0_Type Flag_Short
Buying_66_Reward_0_ID 33
Buying_66_Reward_0_Value 10
Buying_66_Reward_0_Modification Increment

Buying_67_ID 39
Buying_67_Cost 36
Buying_67_Conditions 2
Buying_67_Condition_0_Type Flag_Short
Buying_67_Condition_0_ID 33
Buying_67_Condition_0_Value 7000
Buying_67_Condition_0_Logic Less_Than

Buying_67_Condition_1_Type Flag_Short
Buying_67_Condition_1_ID 33
Buying_67_Condition_1_Value 6000
Buying_67_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_67_Rewards 1
Buying_67_Reward_0_Type Flag_Short
Buying_67_Reward_0_ID 33
Buying_67_Reward_0_Value 10
Buying_67_Reward_0_Modification Increment

Buying_68_ID 37
Buying_68_Cost 36
Buying_68_Conditions 2
Buying_68_Condition_0_Type Flag_Short
Buying_68_Condition_0_ID 33
Buying_68_Condition_0_Value 7000
Buying_68_Condition_0_Logic Less_Than

Buying_68_Condition_1_Type Flag_Short
Buying_68_Condition_1_ID 33
Buying_68_Condition_1_Value 6000
Buying_68_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_68_Rewards 1
Buying_68_Reward_0_Type Flag_Short
Buying_68_Reward_0_ID 33
Buying_68_Reward_0_Value 10
Buying_68_Reward_0_Modification Increment

Buying_69_ID 41
Buying_69_Cost 37
Buying_69_Conditions 2
Buying_69_Condition_0_Type Flag_Short
Buying_69_Condition_0_ID 33
Buying_69_Condition_0_Value 8000
Buying_69_Condition_0_Logic Less_Than

Buying_69_Condition_1_Type Flag_Short
Buying_69_Condition_1_ID 33
Buying_69_Condition_1_Value 7000
Buying_69_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_69_Rewards 1
Buying_69_Reward_0_Type Flag_Short
Buying_69_Reward_0_ID 33
Buying_69_Reward_0_Value 10
Buying_69_Reward_0_Modification Increment

Buying_70_ID 39
Buying_70_Cost 37
Buying_70_Conditions 2
Buying_70_Condition_0_Type Flag_Short
Buying_70_Condition_0_ID 33
Buying_70_Condition_0_Value 8000
Buying_70_Condition_0_Logic Less_Than

Buying_70_Condition_1_Type Flag_Short
Buying_70_Condition_1_ID 33
Buying_70_Condition_1_Value 7000
Buying_70_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_70_Rewards 1
Buying_70_Reward_0_Type Flag_Short
Buying_70_Reward_0_ID 33
Buying_70_Reward_0_Value 10
Buying_70_Reward_0_Modification Increment

Buying_71_ID 37
Buying_71_Cost 37
Buying_71_Conditions 2
Buying_71_Condition_0_Type Flag_Short
Buying_71_Condition_0_ID 33
Buying_71_Condition_0_Value 8000
Buying_71_Condition_0_Logic Less_Than

Buying_71_Condition_1_Type Flag_Short
Buying_71_Condition_1_ID 33
Buying_71_Condition_1_Value 7000
Buying_71_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_71_Rewards 1
Buying_71_Reward_0_Type Flag_Short
Buying_71_Reward_0_ID 33
Buying_71_Reward_0_Value 10
Buying_71_Reward_0_Modification Increment

Buying_72_ID 41
Buying_72_Cost 38
Buying_72_Conditions 2
Buying_72_Condition_0_Type Flag_Short
Buying_72_Condition_0_ID 33
Buying_72_Condition_0_Value 9000
Buying_72_Condition_0_Logic Less_Than

Buying_72_Condition_1_Type Flag_Short
Buying_72_Condition_1_ID 33
Buying_72_Condition_1_Value 8000
Buying_72_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_72_Rewards 1
Buying_72_Reward_0_Type Flag_Short
Buying_72_Reward_0_ID 33
Buying_72_Reward_0_Value 10
Buying_72_Reward_0_Modification Increment

Buying_73_ID 39
Buying_73_Cost 38
Buying_73_Conditions 2
Buying_73_Condition_0_Type Flag_Short
Buying_73_Condition_0_ID 33
Buying_73_Condition_0_Value 9000
Buying_73_Condition_0_Logic Less_Than

Buying_73_Condition_1_Type Flag_Short
Buying_73_Condition_1_ID 33
Buying_73_Condition_1_Value 8000
Buying_73_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_73_Rewards 1
Buying_73_Reward_0_Type Flag_Short
Buying_73_Reward_0_ID 33
Buying_73_Reward_0_Value 10
Buying_73_Reward_0_Modification Increment

Buying_74_ID 37
Buying_74_Cost 38
Buying_74_Conditions 2
Buying_74_Condition_0_Type Flag_Short
Buying_74_Condition_0_ID 33
Buying_74_Condition_0_Value 9000
Buying_74_Condition_0_Logic Less_Than

Buying_74_Condition_1_Type Flag_Short
Buying_74_Condition_1_ID 33
Buying_74_Condition_1_Value 8000
Buying_74_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_74_Rewards 1
Buying_74_Reward_0_Type Flag_Short
Buying_74_Reward_0_ID 33
Buying_74_Reward_0_Value 10
Buying_74_Reward_0_Modification Increment

Buying_75_ID 41
Buying_75_Cost 39
Buying_75_Conditions 2
Buying_75_Condition_0_Type Flag_Short
Buying_75_Condition_0_ID 33
Buying_75_Condition_0_Value 10000
Buying_75_Condition_0_Logic Less_Than

Buying_75_Condition_1_Type Flag_Short
Buying_75_Condition_1_ID 33
Buying_75_Condition_1_Value 9000
Buying_75_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_75_Rewards 1
Buying_75_Reward_0_Type Flag_Short
Buying_75_Reward_0_ID 33
Buying_75_Reward_0_Value 10
Buying_75_Reward_0_Modification Increment

Buying_76_ID 39
Buying_76_Cost 39
Buying_76_Conditions 2
Buying_76_Condition_0_Type Flag_Short
Buying_76_Condition_0_ID 33
Buying_76_Condition_0_Value 10000
Buying_76_Condition_0_Logic Less_Than

Buying_76_Condition_1_Type Flag_Short
Buying_76_Condition_1_ID 33
Buying_76_Condition_1_Value 9000
Buying_76_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_76_Rewards 1
Buying_76_Reward_0_Type Flag_Short
Buying_76_Reward_0_ID 33
Buying_76_Reward_0_Value 10
Buying_76_Reward_0_Modification Increment

Buying_77_ID 37
Buying_77_Cost 39
Buying_77_Conditions 2
Buying_77_Condition_0_Type Flag_Short
Buying_77_Condition_0_ID 33
Buying_77_Condition_0_Value 10000
Buying_77_Condition_0_Logic Less_Than

Buying_77_Condition_1_Type Flag_Short
Buying_77_Condition_1_ID 33
Buying_77_Condition_1_Value 9000
Buying_77_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_77_Rewards 1
Buying_77_Reward_0_Type Flag_Short
Buying_77_Reward_0_ID 33
Buying_77_Reward_0_Value 10
Buying_77_Reward_0_Modification Increment

Buying_78_ID 41
Buying_78_Cost 40
Buying_78_Conditions 2
Buying_78_Condition_0_Type Flag_Short
Buying_78_Condition_0_ID 33
Buying_78_Condition_0_Value 11000
Buying_78_Condition_0_Logic Less_Than

Buying_78_Condition_1_Type Flag_Short
Buying_78_Condition_1_ID 33
Buying_78_Condition_1_Value 10000
Buying_78_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_78_Rewards 1
Buying_78_Reward_0_Type Flag_Short
Buying_78_Reward_0_ID 33
Buying_78_Reward_0_Value 10
Buying_78_Reward_0_Modification Increment

Buying_79_ID 39
Buying_79_Cost 40
Buying_79_Conditions 2
Buying_79_Condition_0_Type Flag_Short
Buying_79_Condition_0_ID 33
Buying_79_Condition_0_Value 11000
Buying_79_Condition_0_Logic Less_Than

Buying_79_Condition_1_Type Flag_Short
Buying_79_Condition_1_ID 33
Buying_79_Condition_1_Value 10000
Buying_79_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_79_Rewards 1
Buying_79_Reward_0_Type Flag_Short
Buying_79_Reward_0_ID 33
Buying_79_Reward_0_Value 10
Buying_79_Reward_0_Modification Increment

Buying_80_ID 37
Buying_80_Cost 40
Buying_80_Conditions 2
Buying_80_Condition_0_Type Flag_Short
Buying_80_Condition_0_ID 33
Buying_80_Condition_0_Value 11000
Buying_80_Condition_0_Logic Less_Than

Buying_80_Condition_1_Type Flag_Short
Buying_80_Condition_1_ID 33
Buying_80_Condition_1_Value 10000
Buying_80_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_80_Rewards 1
Buying_80_Reward_0_Type Flag_Short
Buying_80_Reward_0_ID 33
Buying_80_Reward_0_Value 10
Buying_80_Reward_0_Modification Increment

Buying_81_ID 41
Buying_81_Cost 41
Buying_81_Conditions 2
Buying_81_Condition_0_Type Flag_Short
Buying_81_Condition_0_ID 33
Buying_81_Condition_0_Value 12000
Buying_81_Condition_0_Logic Less_Than

Buying_81_Condition_1_Type Flag_Short
Buying_81_Condition_1_ID 33
Buying_81_Condition_1_Value 11000
Buying_81_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_81_Rewards 1
Buying_81_Reward_0_Type Flag_Short
Buying_81_Reward_0_ID 33
Buying_81_Reward_0_Value 10
Buying_81_Reward_0_Modification Increment

Buying_82_ID 39
Buying_82_Cost 41
Buying_82_Conditions 2
Buying_82_Condition_0_Type Flag_Short
Buying_82_Condition_0_ID 33
Buying_82_Condition_0_Value 12000
Buying_82_Condition_0_Logic Less_Than

Buying_82_Condition_1_Type Flag_Short
Buying_82_Condition_1_ID 33
Buying_82_Condition_1_Value 11000
Buying_82_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_82_Rewards 1
Buying_82_Reward_0_Type Flag_Short
Buying_82_Reward_0_ID 33
Buying_82_Reward_0_Value 10
Buying_82_Reward_0_Modification Increment

Buying_83_ID 37
Buying_83_Cost 41
Buying_83_Conditions 2
Buying_83_Condition_0_Type Flag_Short
Buying_83_Condition_0_ID 33
Buying_83_Condition_0_Value 12000
Buying_83_Condition_0_Logic Less_Than

Buying_83_Condition_1_Type Flag_Short
Buying_83_Condition_1_ID 33
Buying_83_Condition_1_Value 11000
Buying_83_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_83_Rewards 1
Buying_83_Reward_0_Type Flag_Short
Buying_83_Reward_0_ID 33
Buying_83_Reward_0_Value 10
Buying_83_Reward_0_Modification Increment

Buying_84_ID 41
Buying_84_Cost 42
Buying_84_Conditions 2
Buying_84_Condition_0_Type Flag_Short
Buying_84_Condition_0_ID 33
Buying_84_Condition_0_Value 13000
Buying_84_Condition_0_Logic Less_Than

Buying_84_Condition_1_Type Flag_Short
Buying_84_Condition_1_ID 33
Buying_84_Condition_1_Value 12000
Buying_84_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_84_Rewards 1
Buying_84_Reward_0_Type Flag_Short
Buying_84_Reward_0_ID 33
Buying_84_Reward_0_Value 10
Buying_84_Reward_0_Modification Increment

Buying_85_ID 39
Buying_85_Cost 42
Buying_85_Conditions 2
Buying_85_Condition_0_Type Flag_Short
Buying_85_Condition_0_ID 33
Buying_85_Condition_0_Value 13000
Buying_85_Condition_0_Logic Less_Than

Buying_85_Condition_1_Type Flag_Short
Buying_85_Condition_1_ID 33
Buying_85_Condition_1_Value 12000
Buying_85_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_85_Rewards 1
Buying_85_Reward_0_Type Flag_Short
Buying_85_Reward_0_ID 33
Buying_85_Reward_0_Value 10
Buying_85_Reward_0_Modification Increment

Buying_86_ID 37
Buying_86_Cost 42
Buying_86_Conditions 2
Buying_86_Condition_0_Type Flag_Short
Buying_86_Condition_0_ID 33
Buying_86_Condition_0_Value 13000
Buying_86_Condition_0_Logic Less_Than

Buying_86_Condition_1_Type Flag_Short
Buying_86_Condition_1_ID 33
Buying_86_Condition_1_Value 12000
Buying_86_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_86_Rewards 1
Buying_86_Reward_0_Type Flag_Short
Buying_86_Reward_0_ID 33
Buying_86_Reward_0_Value 10
Buying_86_Reward_0_Modification Increment

Buying_87_ID 41
Buying_87_Cost 43
Buying_87_Conditions 2
Buying_87_Condition_0_Type Flag_Short
Buying_87_Condition_0_ID 33
Buying_87_Condition_0_Value 14000
Buying_87_Condition_0_Logic Less_Than

Buying_87_Condition_1_Type Flag_Short
Buying_87_Condition_1_ID 33
Buying_87_Condition_1_Value 13000
Buying_87_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_87_Rewards 1
Buying_87_Reward_0_Type Flag_Short
Buying_87_Reward_0_ID 33
Buying_87_Reward_0_Value 10
Buying_87_Reward_0_Modification Increment

Buying_88_ID 39
Buying_88_Cost 43
Buying_88_Conditions 2
Buying_88_Condition_0_Type Flag_Short
Buying_88_Condition_0_ID 33
Buying_88_Condition_0_Value 14000
Buying_88_Condition_0_Logic Less_Than

Buying_88_Condition_1_Type Flag_Short
Buying_88_Condition_1_ID 33
Buying_88_Condition_1_Value 13000
Buying_88_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_88_Rewards 1
Buying_88_Reward_0_Type Flag_Short
Buying_88_Reward_0_ID 33
Buying_88_Reward_0_Value 10
Buying_88_Reward_0_Modification Increment

Buying_89_ID 37
Buying_89_Cost 43
Buying_89_Conditions 2
Buying_89_Condition_0_Type Flag_Short
Buying_89_Condition_0_ID 33
Buying_89_Condition_0_Value 14000
Buying_89_Condition_0_Logic Less_Than

Buying_89_Condition_1_Type Flag_Short
Buying_89_Condition_1_ID 33
Buying_89_Condition_1_Value 13000
Buying_89_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_89_Rewards 1
Buying_89_Reward_0_Type Flag_Short
Buying_89_Reward_0_ID 33
Buying_89_Reward_0_Value 10
Buying_89_Reward_0_Modification Increment

Buying_90_ID 41
Buying_90_Cost 44
Buying_90_Conditions 2
Buying_90_Condition_0_Type Flag_Short
Buying_90_Condition_0_ID 33
Buying_90_Condition_0_Value 15000
Buying_90_Condition_0_Logic Less_Than

Buying_90_Condition_1_Type Flag_Short
Buying_90_Condition_1_ID 33
Buying_90_Condition_1_Value 14000
Buying_90_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_90_Rewards 1
Buying_90_Reward_0_Type Flag_Short
Buying_90_Reward_0_ID 33
Buying_90_Reward_0_Value 10
Buying_90_Reward_0_Modification Increment

Buying_91_ID 39
Buying_91_Cost 44
Buying_91_Conditions 2
Buying_91_Condition_0_Type Flag_Short
Buying_91_Condition_0_ID 33
Buying_91_Condition_0_Value 15000
Buying_91_Condition_0_Logic Less_Than

Buying_91_Condition_1_Type Flag_Short
Buying_91_Condition_1_ID 33
Buying_91_Condition_1_Value 14000
Buying_91_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_91_Rewards 1
Buying_91_Reward_0_Type Flag_Short
Buying_91_Reward_0_ID 33
Buying_91_Reward_0_Value 10
Buying_91_Reward_0_Modification Increment

Buying_92_ID 37
Buying_92_Cost 44
Buying_92_Conditions 2
Buying_92_Condition_0_Type Flag_Short
Buying_92_Condition_0_ID 33
Buying_92_Condition_0_Value 15000
Buying_92_Condition_0_Logic Less_Than

Buying_92_Condition_1_Type Flag_Short
Buying_92_Condition_1_ID 33
Buying_92_Condition_1_Value 14000
Buying_92_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_92_Rewards 1
Buying_92_Reward_0_Type Flag_Short
Buying_92_Reward_0_ID 33
Buying_92_Reward_0_Value 10
Buying_92_Reward_0_Modification Increment

Buying_93_ID 41
Buying_93_Cost 45
Buying_93_Conditions 1
Buying_93_Condition_0_Type Flag_Short
Buying_93_Condition_0_ID 33
Buying_93_Condition_0_Value 15000
Buying_93_Condition_0_Allow_Unset 
Buying_93_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_94_ID 39
Buying_94_Cost 45
Buying_94_Conditions 1
Buying_94_Condition_0_Type Flag_Short
Buying_94_Condition_0_ID 33
Buying_94_Condition_0_Value 15000
Buying_94_Condition_0_Allow_Unset 
Buying_94_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_95_ID 37
Buying_95_Cost 45
Buying_95_Conditions 1
Buying_95_Condition_0_Type Flag_Short
Buying_95_Condition_0_ID 33
Buying_95_Condition_0_Value 15000
Buying_95_Condition_0_Allow_Unset 
Buying_95_Condition_0_Logic Greater_Than_Or_Equal_To

Selling 2
Selling_0_ID 16
Selling_0_Cost 100
Selling_1_ID 490
Selling_1_Cost 1000
