// Made in NPC Maker by BowieD
GUID 369b52dc42ad47998dab644efc96fd5f
Buying_43_Reward_0_Type Flag_Short
Buying_43_Reward_0_ID 24202
Buying_43_Reward_0_Value 1
Buying_43_Reward_0_Modification Increment

Buying_44_ID 1348
Buying_44_Cost 117
Buying_44_Conditions 2
Buying_44_Condition_0_Type Flag_Short
Buying_44_Condition_0_ID 24202
Buying_44_Condition_0_Value 650
Buying_44_Condition_0_Allow_Unset 
Buying_44_Condition_0_Logic Less_Than

Buying_44_Condition_1_Type Flag_Short
Buying_44_Condition_1_ID 24202
Buying_44_Condition_1_Value 600
Buying_44_Condition_1_Allow_Unset 
Buying_44_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_44_Rewards 1
Buying_44_Reward_0_Type Flag_Short
Buying_44_Reward_0_ID 24202
Buying_44_Reward_0_Value 1
Buying_44_Reward_0_Modification Increment

Buying_45_ID 1348
Buying_45_Cost 118
Buying_45_Conditions 2
Buying_45_Condition_0_Type Flag_Short
Buying_45_Condition_0_ID 24202
Buying_45_Condition_0_Value 700
Buying_45_Condition_0_Allow_Unset 
Buying_45_Condition_0_Logic Less_Than

Buying_45_Condition_1_Type Flag_Short
Buying_45_Condition_1_ID 24202
Buying_45_Condition_1_Value 650
Buying_45_Condition_1_Allow_Unset 
Buying_45_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_45_Rewards 1
Buying_45_Reward_0_Type Flag_Short
Buying_45_Reward_0_ID 24202
Buying_45_Reward_0_Value 1
Buying_45_Reward_0_Modification Increment

Buying_46_ID 1348
Buying_46_Cost 119
Buying_46_Conditions 2
Buying_46_Condition_0_Type Flag_Short
Buying_46_Condition_0_ID 24202
Buying_46_Condition_0_Value 750
Buying_46_Condition_0_Allow_Unset 
Buying_46_Condition_0_Logic Less_Than

Buying_46_Condition_1_Type Flag_Short
Buying_46_Condition_1_ID 24202
Buying_46_Condition_1_Value 700
Buying_46_Condition_1_Allow_Unset 
Buying_46_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_46_Rewards 1
Buying_46_Reward_0_Type Flag_Short
Buying_46_Reward_0_ID 24202
Buying_46_Reward_0_Value 1
Buying_46_Reward_0_Modification Increment

Buying_47_ID 1348
Buying_47_Cost 120
Buying_47_Conditions 1
Buying_47_Condition_0_Type Flag_Short
Buying_47_Condition_0_ID 24202
Buying_47_Condition_0_Value 750
Buying_47_Condition_0_Allow_Unset 
Buying_47_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_48_ID 1350
Buying_48_Cost 105
Buying_48_Conditions 1
Buying_48_Condition_0_Type Flag_Short
Buying_48_Condition_0_ID 24202
Buying_48_Condition_0_Value 50
Buying_48_Condition_0_Allow_Unset 
Buying_48_Condition_0_Logic Less_Than

Buying_48_Rewards 1
Buying_48_Reward_0_Type Flag_Short
Buying_48_Reward_0_ID 24202
Buying_48_Reward_0_Value 1
Buying_48_Reward_0_Modification Increment

Buying_49_ID 1350
Buying_49_Cost 106
Buying_49_Conditions 2
Buying_49_Condition_0_Type Flag_Short
Buying_49_Condition_0_ID 24202
Buying_49_Condition_0_Value 100
Buying_49_Condition_0_Allow_Unset 
Buying_49_Condition_0_Logic Less_Than

Buying_49_Condition_1_Type Flag_Short
Buying_49_Condition_1_ID 24202
Buying_49_Condition_1_Value 50
Buying_49_Condition_1_Allow_Unset 
Buying_49_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_49_Rewards 1
Buying_49_Reward_0_Type Flag_Short
Buying_49_Reward_0_ID 24202
Buying_49_Reward_0_Value 1
Buying_49_Reward_0_Modification Increment

Buying_50_ID 1350
Buying_50_Cost 107
Buying_50_Conditions 2
Buying_50_Condition_0_Type Flag_Short
Buying_50_Condition_0_ID 24202
Buying_50_Condition_0_Value 150
Buying_50_Condition_0_Allow_Unset 
Buying_50_Condition_0_Logic Less_Than

Buying_50_Condition_1_Type Flag_Short
Buying_50_Condition_1_ID 24202
Buying_50_Condition_1_Value 100
Buying_50_Condition_1_Allow_Unset 
Buying_50_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_50_Rewards 1
Buying_50_Reward_0_Type Flag_Short
Buying_50_Reward_0_ID 24202
Buying_50_Reward_0_Value 1
Buying_50_Reward_0_Modification Increment

Buying_51_ID 1350
Buying_51_Cost 108
Buying_51_Conditions 2
Buying_51_Condition_0_Type Flag_Short
Buying_51_Condition_0_ID 24202
Buying_51_Condition_0_Value 200
Buying_51_Condition_0_Allow_Unset 
Buying_51_Condition_0_Logic Less_Than

Buying_51_Condition_1_Type Flag_Short
Buying_51_Condition_1_ID 24202
Buying_51_Condition_1_Value 150
Buying_51_Condition_1_Allow_Unset 
Buying_51_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_51_Rewards 1
Buying_51_Reward_0_Type Flag_Short
Buying_51_Reward_0_ID 24202
Buying_51_Reward_0_Value 1
Buying_51_Reward_0_Modification Increment

Buying_52_ID 1350
Buying_52_Cost 109
Buying_52_Conditions 2
Buying_52_Condition_0_Type Flag_Short
Buying_52_Condition_0_ID 24202
Buying_52_Condition_0_Value 250
Buying_52_Condition_0_Allow_Unset 
Buying_52_Condition_0_Logic Less_Than

Buying_52_Condition_1_Type Flag_Short
Buying_52_Condition_1_ID 24202
Buying_52_Condition_1_Value 200
Buying_52_Condition_1_Allow_Unset 
Buying_52_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_52_Rewards 1
Buying_52_Reward_0_Type Flag_Short
Buying_52_Reward_0_ID 24202
Buying_52_Reward_0_Value 1
Buying_52_Reward_0_Modification Increment

Buying_53_ID 1350
Buying_53_Cost 110
Buying_53_Conditions 2
Buying_53_Condition_0_Type Flag_Short
Buying_53_Condition_0_ID 24202
Buying_53_Condition_0_Value 300
Buying_53_Condition_0_Allow_Unset 
Buying_53_Condition_0_Logic Less_Than

Buying_53_Condition_1_Type Flag_Short
Buying_53_Condition_1_ID 24202
Buying_53_Condition_1_Value 250
Buying_53_Condition_1_Allow_Unset 
Buying_53_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_53_Rewards 1
Buying_53_Reward_0_Type Flag_Short
Buying_53_Reward_0_ID 24202
Buying_53_Reward_0_Value 1
Buying_53_Reward_0_Modification Increment

Buying_54_ID 1350
Buying_54_Cost 111
Buying_54_Conditions 2
Buying_54_Condition_0_Type Flag_Short
Buying_54_Condition_0_ID 24202
Buying_54_Condition_0_Value 350
Buying_54_Condition_0_Allow_Unset 
Buying_54_Condition_0_Logic Less_Than

Buying_54_Condition_1_Type Flag_Short
Buying_54_Condition_1_ID 24202
Buying_54_Condition_1_Value 300
Buying_54_Condition_1_Allow_Unset 
Buying_54_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_54_Rewards 1
Buying_54_Reward_0_Type Flag_Short
Buying_54_Reward_0_ID 24202
Buying_54_Reward_0_Value 1
Buying_54_Reward_0_Modification Increment

Buying_55_ID 1350
Buying_55_Cost 112
Buying_55_Conditions 2
Buying_55_Condition_0_Type Flag_Short
Buying_55_Condition_0_ID 24202
Buying_55_Condition_0_Value 400
Buying_55_Condition_0_Allow_Unset 
Buying_55_Condition_0_Logic Less_Than

Buying_55_Condition_1_Type Flag_Short
Buying_55_Condition_1_ID 24202
Buying_55_Condition_1_Value 350
Buying_55_Condition_1_Allow_Unset 
Buying_55_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_55_Rewards 1
Buying_55_Reward_0_Type Flag_Short
Buying_55_Reward_0_ID 24202
Buying_55_Reward_0_Value 1
Buying_55_Reward_0_Modification Increment

Buying_56_ID 1350
Buying_56_Cost 113
Buying_56_Conditions 2
Buying_56_Condition_0_Type Flag_Short
Buying_56_Condition_0_ID 24202
Buying_56_Condition_0_Value 450
Buying_56_Condition_0_Allow_Unset 
Buying_56_Condition_0_Logic Less_Than

Buying_56_Condition_1_Type Flag_Short
Buying_56_Condition_1_ID 24202
Buying_56_Condition_1_Value 400
Buying_56_Condition_1_Allow_Unset 
Buying_56_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_56_Rewards 1
Buying_56_Reward_0_Type Flag_Short
Buying_56_Reward_0_ID 24202
Buying_56_Reward_0_Value 1
Buying_56_Reward_0_Modification Increment

Buying_57_ID 1350
Buying_57_Cost 114
Buying_57_Conditions 2
Buying_57_Condition_0_Type Flag_Short
Buying_57_Condition_0_ID 24202
Buying_57_Condition_0_Value 500
Buying_57_Condition_0_Allow_Unset 
Buying_57_Condition_0_Logic Less_Than

Buying_57_Condition_1_Type Flag_Short
Buying_57_Condition_1_ID 24202
Buying_57_Condition_1_Value 450
Buying_57_Condition_1_Allow_Unset 
Buying_57_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_57_Rewards 1
Buying_57_Reward_0_Type Flag_Short
Buying_57_Reward_0_ID 24202
Buying_57_Reward_0_Value 1
Buying_57_Reward_0_Modification Increment

Buying_58_ID 1350
Buying_58_Cost 115
Buying_58_Conditions 2
Buying_58_Condition_0_Type Flag_Short
Buying_58_Condition_0_ID 24202
Buying_58_Condition_0_Value 550
Buying_58_Condition_0_Allow_Unset 
Buying_58_Condition_0_Logic Less_Than

Buying_58_Condition_1_Type Flag_Short
Buying_58_Condition_1_ID 24202
Buying_58_Condition_1_Value 500
Buying_58_Condition_1_Allow_Unset 
Buying_58_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_58_Rewards 1
Buying_58_Reward_0_Type Flag_Short
Buying_58_Reward_0_ID 24202
Buying_58_Reward_0_Value 1
Buying_58_Reward_0_Modification Increment

Buying_59_ID 1350
Buying_59_Cost 116
Buying_59_Conditions 2
Buying_59_Condition_0_Type Flag_Short
Buying_59_Condition_0_ID 24202
Buying_59_Condition_0_Value 600
Buying_59_Condition_0_Allow_Unset 
Buying_59_Condition_0_Logic Less_Than

Buying_59_Condition_1_Type Flag_Short
Buying_59_Condition_1_ID 24202
Buying_59_Condition_1_Value 550
Buying_59_Condition_1_Allow_Unset 
Buying_59_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_59_Rewards 1
Buying_59_Reward_0_Type Flag_Short
Buying_59_Reward_0_ID 24202
Buying_59_Reward_0_Value 1
Buying_59_Reward_0_Modification Increment

Buying_60_ID 1350
Buying_60_Cost 117
Buying_60_Conditions 2
Buying_60_Condition_0_Type Flag_Short
Buying_60_Condition_0_ID 24202
Buying_60_Condition_0_Value 650
Buying_60_Condition_0_Allow_Unset 
Buying_60_Condition_0_Logic Less_Than

Buying_60_Condition_1_Type Flag_Short
Buying_60_Condition_1_ID 24202
Buying_60_Condition_1_Value 600
Buying_60_Condition_1_Allow_Unset 
Buying_60_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_60_Rewards 1
Buying_60_Reward_0_Type Flag_Short
Buying_60_Reward_0_ID 24202
Buying_60_Reward_0_Value 1
Buying_60_Reward_0_Modification Increment

Buying_61_ID 1350
Buying_61_Cost 118
Buying_61_Conditions 2
Buying_61_Condition_0_Type Flag_Short
Buying_61_Condition_0_ID 24202
Buying_61_Condition_0_Value 700
Buying_61_Condition_0_Allow_Unset 
Buying_61_Condition_0_Logic Less_Than

Buying_61_Condition_1_Type Flag_Short
Buying_61_Condition_1_ID 24202
Buying_61_Condition_1_Value 650
Buying_61_Condition_1_Allow_Unset 
Buying_61_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_61_Rewards 1
Buying_61_Reward_0_Type Flag_Short
Buying_61_Reward_0_ID 24202
Buying_61_Reward_0_Value 1
Buying_61_Reward_0_Modification Increment

Buying_62_ID 1350
Buying_62_Cost 119
Buying_62_Conditions 2
Buying_62_Condition_0_Type Flag_Short
Buying_62_Condition_0_ID 24202
Buying_62_Condition_0_Value 750
Buying_62_Condition_0_Allow_Unset 
Buying_62_Condition_0_Logic Less_Than

Buying_62_Condition_1_Type Flag_Short
Buying_62_Condition_1_ID 24202
Buying_62_Condition_1_Value 700
Buying_62_Condition_1_Allow_Unset 
Buying_62_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_62_Rewards 1
Buying_62_Reward_0_Type Flag_Short
Buying_62_Reward_0_ID 24202
Buying_62_Reward_0_Value 1
Buying_62_Reward_0_Modification Increment

Buying_63_ID 1350
Buying_63_Cost 120
Buying_63_Conditions 1
Buying_63_Condition_0_Type Flag_Short
Buying_63_Condition_0_ID 24202
Buying_63_Condition_0_Value 750
Buying_63_Condition_0_Allow_Unset 
Buying_63_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_64_ID 1352
Buying_64_Cost 105
Buying_64_Conditions 1
Buying_64_Condition_0_Type Flag_Short
Buying_64_Condition_0_ID 24202
Buying_64_Condition_0_Value 50
Buying_64_Condition_0_Allow_Unset 
Buying_64_Condition_0_Logic Less_Than

Buying_64_Rewards 1
Buying_64_Reward_0_Type Flag_Short
Buying_64_Reward_0_ID 24202
Buying_64_Reward_0_Value 1
Buying_64_Reward_0_Modification Increment

Buying_65_ID 1352
Buying_65_Cost 106
Buying_65_Conditions 2
Buying_65_Condition_0_Type Flag_Short
Buying_65_Condition_0_ID 24202
Buying_65_Condition_0_Value 100
Buying_65_Condition_0_Allow_Unset 
Buying_65_Condition_0_Logic Less_Than

Buying_65_Condition_1_Type Flag_Short
Buying_65_Condition_1_ID 24202
Buying_65_Condition_1_Value 50
Buying_65_Condition_1_Allow_Unset 
Buying_65_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_65_Rewards 1
Buying_65_Reward_0_Type Flag_Short
Buying_65_Reward_0_ID 24202
Buying_65_Reward_0_Value 1
Buying_65_Reward_0_Modification Increment

Buying_66_ID 1352
Buying_66_Cost 107
Buying_66_Conditions 2
Buying_66_Condition_0_Type Flag_Short
Buying_66_Condition_0_ID 24202
Buying_66_Condition_0_Value 150
Buying_66_Condition_0_Allow_Unset 
Buying_66_Condition_0_Logic Less_Than

Buying_66_Condition_1_Type Flag_Short
Buying_66_Condition_1_ID 24202
Buying_66_Condition_1_Value 100
Buying_66_Condition_1_Allow_Unset 
Buying_66_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_66_Rewards 1
Buying_66_Reward_0_Type Flag_Short
Buying_66_Reward_0_ID 24202
Buying_66_Reward_0_Value 1
Buying_66_Reward_0_Modification Increment

Buying_67_ID 1352
Buying_67_Cost 108
Buying_67_Conditions 2
Buying_67_Condition_0_Type Flag_Short
Buying_67_Condition_0_ID 24202
Buying_67_Condition_0_Value 200
Buying_67_Condition_0_Allow_Unset 
Buying_67_Condition_0_Logic Less_Than

Buying_67_Condition_1_Type Flag_Short
Buying_67_Condition_1_ID 24202
Buying_67_Condition_1_Value 150
Buying_67_Condition_1_Allow_Unset 
Buying_67_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_67_Rewards 1
Buying_67_Reward_0_Type Flag_Short
Buying_67_Reward_0_ID 24202
Buying_67_Reward_0_Value 1
Buying_67_Reward_0_Modification Increment

Buying_68_ID 1352
Buying_68_Cost 109
Buying_68_Conditions 2
Buying_68_Condition_0_Type Flag_Short
Buying_68_Condition_0_ID 24202
Buying_68_Condition_0_Value 250
Buying_68_Condition_0_Allow_Unset 
Buying_68_Condition_0_Logic Less_Than

Buying_68_Condition_1_Type Flag_Short
Buying_68_Condition_1_ID 24202
Buying_68_Condition_1_Value 200
Buying_68_Condition_1_Allow_Unset 
Buying_68_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_68_Rewards 1
Buying_68_Reward_0_Type Flag_Short
Buying_68_Reward_0_ID 24202
Buying_68_Reward_0_Value 1
Buying_68_Reward_0_Modification Increment

Buying_69_ID 1352
Buying_69_Cost 110
Buying_69_Conditions 2
Buying_69_Condition_0_Type Flag_Short
Buying_69_Condition_0_ID 24202
Buying_69_Condition_0_Value 300
Buying_69_Condition_0_Allow_Unset 
Buying_69_Condition_0_Logic Less_Than

Buying_69_Condition_1_Type Flag_Short
Buying_69_Condition_1_ID 24202
Buying_69_Condition_1_Value 250
Buying_69_Condition_1_Allow_Unset 
Buying_69_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_69_Rewards 1
Buying_69_Reward_0_Type Flag_Short
Buying_69_Reward_0_ID 24202
Buying_69_Reward_0_Value 1
Buying_69_Reward_0_Modification Increment

Buying_70_ID 1352
Buying_70_Cost 111
Buying_70_Conditions 2
Buying_70_Condition_0_Type Flag_Short
Buying_70_Condition_0_ID 24202
Buying_70_Condition_0_Value 350
Buying_70_Condition_0_Allow_Unset 
Buying_70_Condition_0_Logic Less_Than

Buying_70_Condition_1_Type Flag_Short
Buying_70_Condition_1_ID 24202
Buying_70_Condition_1_Value 300
Buying_70_Condition_1_Allow_Unset 
Buying_70_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_70_Rewards 1
Buying_70_Reward_0_Type Flag_Short
Buying_70_Reward_0_ID 24202
Buying_70_Reward_0_Value 1
Buying_70_Reward_0_Modification Increment

Buying_71_ID 1352
Buying_71_Cost 112
Buying_71_Conditions 2
Buying_71_Condition_0_Type Flag_Short
Buying_71_Condition_0_ID 24202
Buying_71_Condition_0_Value 400
Buying_71_Condition_0_Allow_Unset 
Buying_71_Condition_0_Logic Less_Than

Buying_71_Condition_1_Type Flag_Short
Buying_71_Condition_1_ID 24202
Buying_71_Condition_1_Value 350
Buying_71_Condition_1_Allow_Unset 
Buying_71_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_71_Rewards 1
Buying_71_Reward_0_Type Flag_Short
Buying_71_Reward_0_ID 24202
Buying_71_Reward_0_Value 1
Buying_71_Reward_0_Modification Increment

Buying_72_ID 1352
Buying_72_Cost 113
Buying_72_Conditions 2
Buying_72_Condition_0_Type Flag_Short
Buying_72_Condition_0_ID 24202
Buying_72_Condition_0_Value 450
Buying_72_Condition_0_Allow_Unset 
Buying_72_Condition_0_Logic Less_Than

Buying_72_Condition_1_Type Flag_Short
Buying_72_Condition_1_ID 24202
Buying_72_Condition_1_Value 400
Buying_72_Condition_1_Allow_Unset 
Buying_72_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_72_Rewards 1
Buying_72_Reward_0_Type Flag_Short
Buying_72_Reward_0_ID 24202
Buying_72_Reward_0_Value 1
Buying_72_Reward_0_Modification Increment

Buying_73_ID 1352
Buying_73_Cost 114
Buying_73_Conditions 2
Buying_73_Condition_0_Type Flag_Short
Buying_73_Condition_0_ID 24202
Buying_73_Condition_0_Value 500
Buying_73_Condition_0_Allow_Unset 
Buying_73_Condition_0_Logic Less_Than

Buying_73_Condition_1_Type Flag_Short
Buying_73_Condition_1_ID 24202
Buying_73_Condition_1_Value 450
Buying_73_Condition_1_Allow_Unset 
Buying_73_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_73_Rewards 1
Buying_73_Reward_0_Type Flag_Short
Buying_73_Reward_0_ID 24202
Buying_73_Reward_0_Value 1
Buying_73_Reward_0_Modification Increment

Buying_74_ID 1352
Buying_74_Cost 115
Buying_74_Conditions 2
Buying_74_Condition_0_Type Flag_Short
Buying_74_Condition_0_ID 24202
Buying_74_Condition_0_Value 550
Buying_74_Condition_0_Allow_Unset 
Buying_74_Condition_0_Logic Less_Than

Buying_74_Condition_1_Type Flag_Short
Buying_74_Condition_1_ID 24202
Buying_74_Condition_1_Value 500
Buying_74_Condition_1_Allow_Unset 
Buying_74_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_74_Rewards 1
Buying_74_Reward_0_Type Flag_Short
Buying_74_Reward_0_ID 24202
Buying_74_Reward_0_Value 1
Buying_74_Reward_0_Modification Increment

Buying_75_ID 1352
Buying_75_Cost 116
Buying_75_Conditions 2
Buying_75_Condition_0_Type Flag_Short
Buying_75_Condition_0_ID 24202
Buying_75_Condition_0_Value 600
Buying_75_Condition_0_Allow_Unset 
Buying_75_Condition_0_Logic Less_Than

Buying_75_Condition_1_Type Flag_Short
Buying_75_Condition_1_ID 24202
Buying_75_Condition_1_Value 550
Buying_75_Condition_1_Allow_Unset 
Buying_75_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_75_Rewards 1
Buying_75_Reward_0_Type Flag_Short
Buying_75_Reward_0_ID 24202
Buying_75_Reward_0_Value 1
Buying_75_Reward_0_Modification Increment

Buying_76_ID 1352
Buying_76_Cost 117
Buying_76_Conditions 2
Buying_76_Condition_0_Type Flag_Short
Buying_76_Condition_0_ID 24202
Buying_76_Condition_0_Value 650
Buying_76_Condition_0_Allow_Unset 
Buying_76_Condition_0_Logic Less_Than

Buying_76_Condition_1_Type Flag_Short
Buying_76_Condition_1_ID 24202
Buying_76_Condition_1_Value 600
Buying_76_Condition_1_Allow_Unset 
Buying_76_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_76_Rewards 1
Buying_76_Reward_0_Type Flag_Short
Buying_76_Reward_0_ID 24202
Buying_76_Reward_0_Value 1
Buying_76_Reward_0_Modification Increment

Buying_77_ID 1352
Buying_77_Cost 118
Buying_77_Conditions 2
Buying_77_Condition_0_Type Flag_Short
Buying_77_Condition_0_ID 24202
Buying_77_Condition_0_Value 700
Buying_77_Condition_0_Allow_Unset 
Buying_77_Condition_0_Logic Less_Than

Buying_77_Condition_1_Type Flag_Short
Buying_77_Condition_1_ID 24202
Buying_77_Condition_1_Value 650
Buying_77_Condition_1_Allow_Unset 
Buying_77_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_77_Rewards 1
Buying_77_Reward_0_Type Flag_Short
Buying_77_Reward_0_ID 24202
Buying_77_Reward_0_Value 1
Buying_77_Reward_0_Modification Increment

Buying_78_ID 1352
Buying_78_Cost 119
Buying_78_Conditions 2
Buying_78_Condition_0_Type Flag_Short
Buying_78_Condition_0_ID 24202
Buying_78_Condition_0_Value 750
Buying_78_Condition_0_Allow_Unset 
Buying_78_Condition_0_Logic Less_Than

Buying_78_Condition_1_Type Flag_Short
Buying_78_Condition_1_ID 24202
Buying_78_Condition_1_Value 700
Buying_78_Condition_1_Allow_Unset 
Buying_78_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_78_Rewards 1
Buying_78_Reward_0_Type Flag_Short
Buying_78_Reward_0_ID 24202
Buying_78_Reward_0_Value 1
Buying_78_Reward_0_Modification Increment

Buying_79_ID 1352
Buying_79_Cost 120
Buying_79_Conditions 1
Buying_79_Condition_0_Type Flag_Short
Buying_79_Condition_0_ID 24202
Buying_79_Condition_0_Value 750
Buying_79_Condition_0_Allow_Unset 
Buying_79_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_80_ID 1435
Buying_80_Cost 15000
Buying_80_Conditions 1
Buying_80_Condition_0_Type Flag_Short
Buying_80_Condition_0_ID 24202
Buying_80_Condition_0_Value 50
Buying_80_Condition_0_Allow_Unset 
Buying_80_Condition_0_Logic Less_Than

Buying_80_Rewards 1
Buying_80_Reward_0_Type Flag_Short
Buying_80_Reward_0_ID 24202
Buying_80_Reward_0_Value 1
Buying_80_Reward_0_Modification Increment

Buying_81_ID 1435
Buying_81_Cost 15100
Buying_81_Conditions 2
Buying_81_Condition_0_Type Flag_Short
Buying_81_Condition_0_ID 24202
Buying_81_Condition_0_Value 100
Buying_81_Condition_0_Allow_Unset 
Buying_81_Condition_0_Logic Less_Than

Buying_81_Condition_1_Type Flag_Short
Buying_81_Condition_1_ID 24202
Buying_81_Condition_1_Value 50
Buying_81_Condition_1_Allow_Unset 
Buying_81_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_81_Rewards 1
Buying_81_Reward_0_Type Flag_Short
Buying_81_Reward_0_ID 24202
Buying_81_Reward_0_Value 1
Buying_81_Reward_0_Modification Increment

Buying_82_ID 1435
Buying_82_Cost 15200
Buying_82_Conditions 2
Buying_82_Condition_0_Type Flag_Short
Buying_82_Condition_0_ID 24202
Buying_82_Condition_0_Value 150
Buying_82_Condition_0_Allow_Unset 
Buying_82_Condition_0_Logic Less_Than

Buying_82_Condition_1_Type Flag_Short
Buying_82_Condition_1_ID 24202
Buying_82_Condition_1_Value 100
Buying_82_Condition_1_Allow_Unset 
Buying_82_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_82_Rewards 1
Buying_82_Reward_0_Type Flag_Short
Buying_82_Reward_0_ID 24202
Buying_82_Reward_0_Value 1
Buying_82_Reward_0_Modification Increment

Buying_83_ID 1435
Buying_83_Cost 15300
Buying_83_Conditions 2
Buying_83_Condition_0_Type Flag_Short
Buying_83_Condition_0_ID 24202
Buying_83_Condition_0_Value 200
Buying_83_Condition_0_Allow_Unset 
Buying_83_Condition_0_Logic Less_Than

Buying_83_Condition_1_Type Flag_Short
Buying_83_Condition_1_ID 24202
Buying_83_Condition_1_Value 150
Buying_83_Condition_1_Allow_Unset 
Buying_83_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_83_Rewards 1
Buying_83_Reward_0_Type Flag_Short
Buying_83_Reward_0_ID 24202
Buying_83_Reward_0_Value 1
Buying_83_Reward_0_Modification Increment

Buying_84_ID 1435
Buying_84_Cost 15400
Buying_84_Conditions 2
Buying_84_Condition_0_Type Flag_Short
Buying_84_Condition_0_ID 24202
Buying_84_Condition_0_Value 250
Buying_84_Condition_0_Allow_Unset 
Buying_84_Condition_0_Logic Less_Than

Buying_84_Condition_1_Type Flag_Short
Buying_84_Condition_1_ID 24202
Buying_84_Condition_1_Value 200
Buying_84_Condition_1_Allow_Unset 
Buying_84_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_84_Rewards 1
Buying_84_Reward_0_Type Flag_Short
Buying_84_Reward_0_ID 24202
Buying_84_Reward_0_Value 1
Buying_84_Reward_0_Modification Increment

Buying_85_ID 1435
Buying_85_Cost 15500
Buying_85_Conditions 2
Buying_85_Condition_0_Type Flag_Short
Buying_85_Condition_0_ID 24202
Buying_85_Condition_0_Value 300
Buying_85_Condition_0_Allow_Unset 
Buying_85_Condition_0_Logic Less_Than

Buying_85_Condition_1_Type Flag_Short
Buying_85_Condition_1_ID 24202
Buying_85_Condition_1_Value 250
Buying_85_Condition_1_Allow_Unset 
Buying_85_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_85_Rewards 1
Buying_85_Reward_0_Type Flag_Short
Buying_85_Reward_0_ID 24202
Buying_85_Reward_0_Value 1
Buying_85_Reward_0_Modification Increment

Buying_86_ID 1435
Buying_86_Cost 15600
Buying_86_Conditions 2
Buying_86_Condition_0_Type Flag_Short
Buying_86_Condition_0_ID 24202
Buying_86_Condition_0_Value 350
Buying_86_Condition_0_Allow_Unset 
Buying_86_Condition_0_Logic Less_Than

Buying_86_Condition_1_Type Flag_Short
Buying_86_Condition_1_ID 24202
Buying_86_Condition_1_Value 300
Buying_86_Condition_1_Allow_Unset 
Buying_86_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_86_Rewards 1
Buying_86_Reward_0_Type Flag_Short
Buying_86_Reward_0_ID 24202
Buying_86_Reward_0_Value 1
Buying_86_Reward_0_Modification Increment

Buying_87_ID 1435
Buying_87_Cost 15700
Buying_87_Conditions 2
Buying_87_Condition_0_Type Flag_Short
Buying_87_Condition_0_ID 24202
Buying_87_Condition_0_Value 400
Buying_87_Condition_0_Allow_Unset 
Buying_87_Condition_0_Logic Less_Than

Buying_87_Condition_1_Type Flag_Short
Buying_87_Condition_1_ID 24202
Buying_87_Condition_1_Value 350
Buying_87_Condition_1_Allow_Unset 
Buying_87_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_87_Rewards 1
Buying_87_Reward_0_Type Flag_Short
Buying_87_Reward_0_ID 24202
Buying_87_Reward_0_Value 1
Buying_87_Reward_0_Modification Increment

Buying_88_ID 1435
Buying_88_Cost 15800
Buying_88_Conditions 2
Buying_88_Condition_0_Type Flag_Short
