// Made in NPC Maker by BowieD
GUID 2d1f4fee61c44bf1875d364459119c70
Buying_46_Condition_0_Type Flag_Short
Buying_46_Condition_0_ID 2567
Buying_46_Condition_0_Value 10000
Buying_46_Condition_0_Allow_Unset 
Buying_46_Condition_0_Logic Less_Than

Buying_46_Condition_1_Type Flag_Short
Buying_46_Condition_1_ID 2567
Buying_46_Condition_1_Value 9000
Buying_46_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_46_Rewards 1
Buying_46_Reward_0_Type Flag_Short
Buying_46_Reward_0_ID 2567
Buying_46_Reward_0_Value 10
Buying_46_Reward_0_Modification Increment

Buying_47_ID 49102
Buying_47_Cost 3900
Buying_47_Conditions 2
Buying_47_Condition_0_Type Flag_Short
Buying_47_Condition_0_ID 2567
Buying_47_Condition_0_Value 10000
Buying_47_Condition_0_Logic Less_Than

Buying_47_Condition_1_Type Flag_Short
Buying_47_Condition_1_ID 2567
Buying_47_Condition_1_Value 9000
Buying_47_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_47_Rewards 1
Buying_47_Reward_0_Type Flag_Short
Buying_47_Reward_0_ID 2567
Buying_47_Reward_0_Value 100
Buying_47_Reward_0_Modification Increment

Buying_48_ID 56252
Buying_48_Cost 59
Buying_48_Conditions 2
Buying_48_Condition_0_Type Flag_Short
Buying_48_Condition_0_ID 2568
Buying_48_Condition_0_Value 5000
Buying_48_Condition_0_Allow_Unset 
Buying_48_Condition_0_Logic Less_Than

Buying_48_Condition_1_Type Flag_Short
Buying_48_Condition_1_ID 2568
Buying_48_Condition_1_Value 4500
Buying_48_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_48_Rewards 1
Buying_48_Reward_0_Type Flag_Short
Buying_48_Reward_0_ID 2568
Buying_48_Reward_0_Value 1
Buying_48_Reward_0_Modification Increment

Buying_49_ID 56253
Buying_49_Cost 59
Buying_49_Conditions 2
Buying_49_Condition_0_Type Flag_Short
Buying_49_Condition_0_ID 2568
Buying_49_Condition_0_Value 5000
Buying_49_Condition_0_Logic Less_Than

Buying_49_Condition_1_Type Flag_Short
Buying_49_Condition_1_ID 2568
Buying_49_Condition_1_Value 4500
Buying_49_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_49_Rewards 1
Buying_49_Reward_0_Type Flag_Short
Buying_49_Reward_0_ID 2568
Buying_49_Reward_0_Value 1
Buying_49_Reward_0_Modification Increment

Buying_50_ID 67
Buying_50_Cost 40
Buying_50_Conditions 2
Buying_50_Condition_0_Type Flag_Short
Buying_50_Condition_0_ID 2567
Buying_50_Condition_0_Value 11000
Buying_50_Condition_0_Allow_Unset 
Buying_50_Condition_0_Logic Less_Than

Buying_50_Condition_1_Type Flag_Short
Buying_50_Condition_1_ID 2567
Buying_50_Condition_1_Value 10000
Buying_50_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_50_Rewards 1
Buying_50_Reward_0_Type Flag_Short
Buying_50_Reward_0_ID 2567
Buying_50_Reward_0_Value 1
Buying_50_Reward_0_Modification Increment

Buying_51_ID 49101
Buying_51_Cost 400
Buying_51_Conditions 2
Buying_51_Condition_0_Type Flag_Short
Buying_51_Condition_0_ID 2567
Buying_51_Condition_0_Value 11000
Buying_51_Condition_0_Allow_Unset 
Buying_51_Condition_0_Logic Less_Than

Buying_51_Condition_1_Type Flag_Short
Buying_51_Condition_1_ID 2567
Buying_51_Condition_1_Value 10000
Buying_51_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_51_Rewards 1
Buying_51_Reward_0_Type Flag_Short
Buying_51_Reward_0_ID 2567
Buying_51_Reward_0_Value 10
Buying_51_Reward_0_Modification Increment

Buying_52_ID 49102
Buying_52_Cost 4000
Buying_52_Conditions 2
Buying_52_Condition_0_Type Flag_Short
Buying_52_Condition_0_ID 2567
Buying_52_Condition_0_Value 11000
Buying_52_Condition_0_Logic Less_Than

Buying_52_Condition_1_Type Flag_Short
Buying_52_Condition_1_ID 2567
Buying_52_Condition_1_Value 10000
Buying_52_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_52_Rewards 1
Buying_52_Reward_0_Type Flag_Short
Buying_52_Reward_0_ID 2567
Buying_52_Reward_0_Value 100
Buying_52_Reward_0_Modification Increment

Buying_53_ID 56252
Buying_53_Cost 60
Buying_53_Conditions 2
Buying_53_Condition_0_Type Flag_Short
Buying_53_Condition_0_ID 2568
Buying_53_Condition_0_Value 5500
Buying_53_Condition_0_Allow_Unset 
Buying_53_Condition_0_Logic Less_Than

Buying_53_Condition_1_Type Flag_Short
Buying_53_Condition_1_ID 2568
Buying_53_Condition_1_Value 5000
Buying_53_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_53_Rewards 1
Buying_53_Reward_0_Type Flag_Short
Buying_53_Reward_0_ID 2568
Buying_53_Reward_0_Value 1
Buying_53_Reward_0_Modification Increment

Buying_54_ID 56253
Buying_54_Cost 60
Buying_54_Conditions 2
Buying_54_Condition_0_Type Flag_Short
Buying_54_Condition_0_ID 2568
Buying_54_Condition_0_Value 5500
Buying_54_Condition_0_Logic Less_Than

Buying_54_Condition_1_Type Flag_Short
Buying_54_Condition_1_ID 2568
Buying_54_Condition_1_Value 5000
Buying_54_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_54_Rewards 1
Buying_54_Reward_0_Type Flag_Short
Buying_54_Reward_0_ID 2568
Buying_54_Reward_0_Value 1
Buying_54_Reward_0_Modification Increment

Buying_55_ID 67
Buying_55_Cost 41
Buying_55_Conditions 2
Buying_55_Condition_0_Type Flag_Short
Buying_55_Condition_0_ID 2567
Buying_55_Condition_0_Value 12000
Buying_55_Condition_0_Allow_Unset 
Buying_55_Condition_0_Logic Less_Than

Buying_55_Condition_1_Type Flag_Short
Buying_55_Condition_1_ID 2567
Buying_55_Condition_1_Value 11000
Buying_55_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_55_Rewards 1
Buying_55_Reward_0_Type Flag_Short
Buying_55_Reward_0_ID 2567
Buying_55_Reward_0_Value 1
Buying_55_Reward_0_Modification Increment

Buying_56_ID 49101
Buying_56_Cost 410
Buying_56_Conditions 2
Buying_56_Condition_0_Type Flag_Short
Buying_56_Condition_0_ID 2567
Buying_56_Condition_0_Value 12000
Buying_56_Condition_0_Allow_Unset 
Buying_56_Condition_0_Logic Less_Than

Buying_56_Condition_1_Type Flag_Short
Buying_56_Condition_1_ID 2567
Buying_56_Condition_1_Value 11000
Buying_56_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_56_Rewards 1
Buying_56_Reward_0_Type Flag_Short
Buying_56_Reward_0_ID 2567
Buying_56_Reward_0_Value 10
Buying_56_Reward_0_Modification Increment

Buying_57_ID 49102
Buying_57_Cost 4100
Buying_57_Conditions 2
Buying_57_Condition_0_Type Flag_Short
Buying_57_Condition_0_ID 2567
Buying_57_Condition_0_Value 12000
Buying_57_Condition_0_Logic Less_Than

Buying_57_Condition_1_Type Flag_Short
Buying_57_Condition_1_ID 2567
Buying_57_Condition_1_Value 11000
Buying_57_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_57_Rewards 1
Buying_57_Reward_0_Type Flag_Short
Buying_57_Reward_0_ID 2567
Buying_57_Reward_0_Value 100
Buying_57_Reward_0_Modification Increment

Buying_58_ID 56252
Buying_58_Cost 61
Buying_58_Conditions 2
Buying_58_Condition_0_Type Flag_Short
Buying_58_Condition_0_ID 2568
Buying_58_Condition_0_Value 6000
Buying_58_Condition_0_Allow_Unset 
Buying_58_Condition_0_Logic Less_Than

Buying_58_Condition_1_Type Flag_Short
Buying_58_Condition_1_ID 2568
Buying_58_Condition_1_Value 5500
Buying_58_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_58_Rewards 1
Buying_58_Reward_0_Type Flag_Short
Buying_58_Reward_0_ID 2568
Buying_58_Reward_0_Value 1
Buying_58_Reward_0_Modification Increment

Buying_59_ID 56253
Buying_59_Cost 61
Buying_59_Conditions 2
Buying_59_Condition_0_Type Flag_Short
Buying_59_Condition_0_ID 2568
Buying_59_Condition_0_Value 6000
Buying_59_Condition_0_Logic Less_Than

Buying_59_Condition_1_Type Flag_Short
Buying_59_Condition_1_ID 2568
Buying_59_Condition_1_Value 5500
Buying_59_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_59_Rewards 1
Buying_59_Reward_0_Type Flag_Short
Buying_59_Reward_0_ID 2568
Buying_59_Reward_0_Value 1
Buying_59_Reward_0_Modification Increment

Buying_60_ID 67
Buying_60_Cost 42
Buying_60_Conditions 2
Buying_60_Condition_0_Type Flag_Short
Buying_60_Condition_0_ID 2567
Buying_60_Condition_0_Value 13000
Buying_60_Condition_0_Allow_Unset 
Buying_60_Condition_0_Logic Less_Than

Buying_60_Condition_1_Type Flag_Short
Buying_60_Condition_1_ID 2567
Buying_60_Condition_1_Value 12000
Buying_60_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_60_Rewards 1
Buying_60_Reward_0_Type Flag_Short
Buying_60_Reward_0_ID 2567
Buying_60_Reward_0_Value 1
Buying_60_Reward_0_Modification Increment

Buying_61_ID 49101
Buying_61_Cost 420
Buying_61_Conditions 2
Buying_61_Condition_0_Type Flag_Short
Buying_61_Condition_0_ID 2567
Buying_61_Condition_0_Value 13000
Buying_61_Condition_0_Allow_Unset 
Buying_61_Condition_0_Logic Less_Than

Buying_61_Condition_1_Type Flag_Short
Buying_61_Condition_1_ID 2567
Buying_61_Condition_1_Value 12000
Buying_61_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_61_Rewards 1
Buying_61_Reward_0_Type Flag_Short
Buying_61_Reward_0_ID 2567
Buying_61_Reward_0_Value 10
Buying_61_Reward_0_Modification Increment

Buying_62_ID 49102
Buying_62_Cost 4200
Buying_62_Conditions 2
Buying_62_Condition_0_Type Flag_Short
Buying_62_Condition_0_ID 2567
Buying_62_Condition_0_Value 13000
Buying_62_Condition_0_Logic Less_Than

Buying_62_Condition_1_Type Flag_Short
Buying_62_Condition_1_ID 2567
Buying_62_Condition_1_Value 12000
Buying_62_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_62_Rewards 1
Buying_62_Reward_0_Type Flag_Short
Buying_62_Reward_0_ID 2567
Buying_62_Reward_0_Value 100
Buying_62_Reward_0_Modification Increment

Buying_63_ID 56252
Buying_63_Cost 62
Buying_63_Conditions 2
Buying_63_Condition_0_Type Flag_Short
Buying_63_Condition_0_ID 2568
Buying_63_Condition_0_Value 6500
Buying_63_Condition_0_Allow_Unset 
Buying_63_Condition_0_Logic Less_Than

Buying_63_Condition_1_Type Flag_Short
Buying_63_Condition_1_ID 2568
Buying_63_Condition_1_Value 6000
Buying_63_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_63_Rewards 1
Buying_63_Reward_0_Type Flag_Short
Buying_63_Reward_0_ID 2568
Buying_63_Reward_0_Value 1
Buying_63_Reward_0_Modification Increment

Buying_64_ID 56253
Buying_64_Cost 62
Buying_64_Conditions 2
Buying_64_Condition_0_Type Flag_Short
Buying_64_Condition_0_ID 2568
Buying_64_Condition_0_Value 6500
Buying_64_Condition_0_Logic Less_Than

Buying_64_Condition_1_Type Flag_Short
Buying_64_Condition_1_ID 2568
Buying_64_Condition_1_Value 6000
Buying_64_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_64_Rewards 1
Buying_64_Reward_0_Type Flag_Short
Buying_64_Reward_0_ID 2568
Buying_64_Reward_0_Value 1
Buying_64_Reward_0_Modification Increment

Buying_65_ID 67
Buying_65_Cost 43
Buying_65_Conditions 2
Buying_65_Condition_0_Type Flag_Short
Buying_65_Condition_0_ID 2567
Buying_65_Condition_0_Value 14000
Buying_65_Condition_0_Allow_Unset 
Buying_65_Condition_0_Logic Less_Than

Buying_65_Condition_1_Type Flag_Short
Buying_65_Condition_1_ID 2567
Buying_65_Condition_1_Value 13000
Buying_65_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_65_Rewards 1
Buying_65_Reward_0_Type Flag_Short
Buying_65_Reward_0_ID 2567
Buying_65_Reward_0_Value 1
Buying_65_Reward_0_Modification Increment

Buying_66_ID 49101
Buying_66_Cost 430
Buying_66_Conditions 2
Buying_66_Condition_0_Type Flag_Short
Buying_66_Condition_0_ID 2567
Buying_66_Condition_0_Value 14000
Buying_66_Condition_0_Allow_Unset 
Buying_66_Condition_0_Logic Less_Than

Buying_66_Condition_1_Type Flag_Short
Buying_66_Condition_1_ID 2567
Buying_66_Condition_1_Value 13000
Buying_66_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_66_Rewards 1
Buying_66_Reward_0_Type Flag_Short
Buying_66_Reward_0_ID 2567
Buying_66_Reward_0_Value 10
Buying_66_Reward_0_Modification Increment

Buying_67_ID 49102
Buying_67_Cost 4300
Buying_67_Conditions 2
Buying_67_Condition_0_Type Flag_Short
Buying_67_Condition_0_ID 2567
Buying_67_Condition_0_Value 14000
Buying_67_Condition_0_Logic Less_Than

Buying_67_Condition_1_Type Flag_Short
Buying_67_Condition_1_ID 2567
Buying_67_Condition_1_Value 13000
Buying_67_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_67_Rewards 1
Buying_67_Reward_0_Type Flag_Short
Buying_67_Reward_0_ID 2567
Buying_67_Reward_0_Value 100
Buying_67_Reward_0_Modification Increment

Buying_68_ID 56252
Buying_68_Cost 63
Buying_68_Conditions 2
Buying_68_Condition_0_Type Flag_Short
Buying_68_Condition_0_ID 2568
Buying_68_Condition_0_Value 7000
Buying_68_Condition_0_Allow_Unset 
Buying_68_Condition_0_Logic Less_Than

Buying_68_Condition_1_Type Flag_Short
Buying_68_Condition_1_ID 2568
Buying_68_Condition_1_Value 6500
Buying_68_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_68_Rewards 1
Buying_68_Reward_0_Type Flag_Short
Buying_68_Reward_0_ID 2568
Buying_68_Reward_0_Value 1
Buying_68_Reward_0_Modification Increment

Buying_69_ID 56253
Buying_69_Cost 63
Buying_69_Conditions 2
Buying_69_Condition_0_Type Flag_Short
Buying_69_Condition_0_ID 2568
Buying_69_Condition_0_Value 7000
Buying_69_Condition_0_Logic Less_Than

Buying_69_Condition_1_Type Flag_Short
Buying_69_Condition_1_ID 2568
Buying_69_Condition_1_Value 6500
Buying_69_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_69_Rewards 1
Buying_69_Reward_0_Type Flag_Short
Buying_69_Reward_0_ID 2568
Buying_69_Reward_0_Value 1
Buying_69_Reward_0_Modification Increment

Buying_70_ID 67
Buying_70_Cost 44
Buying_70_Conditions 2
Buying_70_Condition_0_Type Flag_Short
Buying_70_Condition_0_ID 2567
Buying_70_Condition_0_Value 15000
Buying_70_Condition_0_Allow_Unset 
Buying_70_Condition_0_Logic Less_Than

Buying_70_Condition_1_Type Flag_Short
Buying_70_Condition_1_ID 2567
Buying_70_Condition_1_Value 14000
Buying_70_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_70_Rewards 1
Buying_70_Reward_0_Type Flag_Short
Buying_70_Reward_0_ID 2567
Buying_70_Reward_0_Value 1
Buying_70_Reward_0_Modification Increment

Buying_71_ID 49101
Buying_71_Cost 440
Buying_71_Conditions 2
Buying_71_Condition_0_Type Flag_Short
Buying_71_Condition_0_ID 2567
Buying_71_Condition_0_Value 15000
Buying_71_Condition_0_Allow_Unset 
Buying_71_Condition_0_Logic Less_Than

Buying_71_Condition_1_Type Flag_Short
Buying_71_Condition_1_ID 2567
Buying_71_Condition_1_Value 14000
Buying_71_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_71_Rewards 1
Buying_71_Reward_0_Type Flag_Short
Buying_71_Reward_0_ID 2567
Buying_71_Reward_0_Value 10
Buying_71_Reward_0_Modification Increment

Buying_72_ID 49102
Buying_72_Cost 4400
Buying_72_Conditions 2
Buying_72_Condition_0_Type Flag_Short
Buying_72_Condition_0_ID 2567
Buying_72_Condition_0_Value 15000
Buying_72_Condition_0_Logic Less_Than

Buying_72_Condition_1_Type Flag_Short
Buying_72_Condition_1_ID 2567
Buying_72_Condition_1_Value 14000
Buying_72_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_72_Rewards 1
Buying_72_Reward_0_Type Flag_Short
Buying_72_Reward_0_ID 2567
Buying_72_Reward_0_Value 100
Buying_72_Reward_0_Modification Increment

Buying_73_ID 56252
Buying_73_Cost 64
Buying_73_Conditions 2
Buying_73_Condition_0_Type Flag_Short
Buying_73_Condition_0_ID 2568
Buying_73_Condition_0_Value 7500
Buying_73_Condition_0_Allow_Unset 
Buying_73_Condition_0_Logic Less_Than

Buying_73_Condition_1_Type Flag_Short
Buying_73_Condition_1_ID 2568
Buying_73_Condition_1_Value 7000
Buying_73_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_73_Rewards 1
Buying_73_Reward_0_Type Flag_Short
Buying_73_Reward_0_ID 2568
Buying_73_Reward_0_Value 1
Buying_73_Reward_0_Modification Increment

Buying_74_ID 56253
Buying_74_Cost 64
Buying_74_Conditions 2
Buying_74_Condition_0_Type Flag_Short
Buying_74_Condition_0_ID 2568
Buying_74_Condition_0_Value 7500
Buying_74_Condition_0_Logic Less_Than

Buying_74_Condition_1_Type Flag_Short
Buying_74_Condition_1_ID 2568
Buying_74_Condition_1_Value 7000
Buying_74_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_74_Rewards 1
Buying_74_Reward_0_Type Flag_Short
Buying_74_Reward_0_ID 2568
Buying_74_Reward_0_Value 1
Buying_74_Reward_0_Modification Increment

Buying_75_ID 67
Buying_75_Cost 45
Buying_75_Conditions 1
Buying_75_Condition_0_Type Flag_Short
Buying_75_Condition_0_ID 2567
Buying_75_Condition_0_Value 15000
Buying_75_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_76_ID 49101
Buying_76_Cost 450
Buying_76_Conditions 1
Buying_76_Condition_0_Type Flag_Short
Buying_76_Condition_0_ID 2567
Buying_76_Condition_0_Value 15000
Buying_76_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_77_ID 49102
Buying_77_Cost 4500
Buying_77_Conditions 1
Buying_77_Condition_0_Type Flag_Short
Buying_77_Condition_0_ID 2567
Buying_77_Condition_0_Value 15000
Buying_77_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_78_ID 56252
Buying_78_Cost 65
Buying_78_Conditions 1
Buying_78_Condition_0_Type Flag_Short
Buying_78_Condition_0_ID 2568
Buying_78_Condition_0_Value 7500
Buying_78_Condition_0_Logic Greater_Than_Or_Equal_To

Buying_79_ID 56253
Buying_79_Cost 65
Buying_79_Conditions 1
Buying_79_Condition_0_Type Flag_Short
Buying_79_Condition_0_ID 2568
Buying_79_Condition_0_Value 7500
Buying_79_Condition_0_Logic Greater_Than_Or_Equal_To

Selling 3
Selling_0_ID 1198
Selling_0_Cost 100
Selling_1_ID 1475
Selling_1_Cost 1000
Selling_2_ID 1199
Selling_2_Cost 750
